Parameter,barren,mixed,mixed,wetland,water,impervious
ds,1.00E+00,2.00E+00,3.00E+00,1.00E+09,0.00E+00,
dsfs,1.00E+00,2.00E+00,3.00E+00,1.00E+09,0.00E+00,
Re,8.00E-02,8.00E-02,8.00E-02,6.00E-04,1.00E-01,
AK,1.30E+00,1.47E+01,3.00E+00,4.00E+02,-1.00E-01,
AKfs,1.30E+00,2.00E+00,3.20E+00,2.02E+02,-1.00E-01,
retn,3.13E+01,2.00E+01,1.00E+02,2.29E-01,1.00E-01,
ak2,6.00E-02,7.60E-02,9.20E-02,7.96E-10,1.00E-03,
ak2fs,3.00E-02,3.80E-02,4.60E-02,1.00E-10,1.00E-03,
R3,1.97E+01,8.48E+00,1.97E+01,8.98E+00,4.00E+00,
R3fs,1.00E+01,1.00E+01,2.00E+01,1.00E+01,4.00E+00,
r4,1.00E+00,1.00E+01,1.00E+01,1.00E+01,1.00E+01,
ch,1.00E+00,9.00E-01,7.00E-01,7.00E-01,6.00E-01,
MF,1.65E-01,1.22E-01,1.22E-01,1.50E-01,1.65E-01,1.50E-01
BASE,-1.00E+00,-1.00E+00,-1.00E+00,-1.00E+00,-1.00E+00,-1.00E+00
NMF,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
UADJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
TIPM,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01,2.00E-01
RHO,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01
WHCL,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02
