Parameter,barren,mixed,agricultural,wetland,water,impervious
ds,1.00E+00,1.00E-05,2.00E+00,1.00E-01,0.00E+00,1.00E+00
dsfs,1.00E+00,1.00E+01,2.00E+01,1.00E-01,0.00E+00,1.00E+00
Rec,2.00E+00,2.00E+00,1.04E+00,1.00E+00,1.00E-01,1.00E-01
AK,2.01E-02,1.20E+01,1.00E+00,4.00E+02,-1.00E+00,1.10E+00
AKfs,2.00E+00,1.20E+00,1.00E+00,4.00E+02,-1.00E+00,1.10E+00
retn,7.50E+01,7.50E+01,1.00E+01,4.00E-01,1.00E-01,0.00E+00
ak2,1.32E-01,9.60E-01,1.32E-01,2.00E-01,1.00E-03,1.00E-10
ak2fs,6.60E-02,9.60E-01,3.30E-02,7.50E-11,1.00E-03,1.00E-10
R3,1.97E+01,8.48E+00,1.97E+01,8.98E-02,4.00E-02,0.00E+00
R3fs,1.00E+01,1.00E+01,2.00E+01,1.00E-01,4.00E-02,0.00E+00
r4,1.00E+00,1.00E+01,3.80E-01,1.00E+01,1.00E+01,0.00E+00
ch,1.00E+00,9.00E-01,7.00E-01,7.00E-01,6.00E-01,0.00E+00
MF,1.00E-01,1.60E-01,3.60E-01,1.20E-01,1.20E-01,1.50E-01
BASE,1.00E+00,3.22E-01,-8.00E+00,1.12E+01,0.00E+00,0.00E+00
NMF,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
UADJ,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
TIPM,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01,1.00E-01
RHO,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01,3.33E-01
WHCL,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02,3.50E-02
fmadj,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
