Parameter,Deciduous,coniferous,Shrub,Wetland,Water,Impervious
AK2,0.55,0.55,0.55,0.55,0.051,5.00E-10
AK2FS,0.52,0.51,0.52,0.52,0.051,5.00E-10
AK,13.4,12,3,400,-0.1,1.00E-11
AKFS,1.2,1.2,3,400,-0.1,1.00E-11
Albedo,0.16,0.13,0.14,0.15,0,0.15
BASE,-0.32,-0.61,-0.93,-0.99,-0.03,-0.56
MF,0.13,0.13,0.17,0.17,0.13,0.15
NMF,0.1,0.1,0.1,0.1,0.1,0.1
R3,0.1,0.08,0.2,0.09,0.04,4
R3FS,0.1,0.05,0.2,0.1,0.04,4
REC,0.2,0.2,0.2,0.9,0.1,0.9
RETN,150,150,150,140,0.1,0.1
A5,0.985,0.985,0.985,0.985,0.985,0.985
Lzf,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05
Pwr,2.05,2.05,2.05,2.05,2.05,2.05
R2n,0.018,0.018,0.018,0.018,0.018,0.018
Ds,123,120,1.20E+04,1.20E+10,0,1
Dsfs,223,220,220,2.20E+10,0,1
Flapse,0.75,0.75,0.75,0.75,0.75,0.75
Fpet,3,4,4,4,1,0
Ftall,0.85,0.85,1,1.3,1,1
Kcond,0.75,0.75,0.75,0.75,0.75,0.75
Mndr,1,1,1,1,1,1
R1n,0.05,0.05,0.05,0.05,0.05,0.05
Sublime,0.1,0.1,0.22,0.22,0.3,0
Theta,0.7,0.7,0.7,0.7,0.7,0.7
