Parameter,Shrub,Shrub,Agricultural,Deciduous,Coniferous,Coniferous,mixed,barren,wetland,wetland,water,impervious
ds,1,2,2,2,2,2,2,1,10,10,0,1
dsfs,1,2,2,2,2,2,2,1,10,10,0,1
rec,0.507,0.622,0.506,0.587,0.52,0.731,0.762,1.68,2.27,1,1,1
ak,17.4,22.3,2.46,10.4,11.4,20.6,17.6,0.683,100,100,-0.1,3.00E-11
akfs,2.46,16.6,0.628,0.98,11.8,1.8,8.17,8.65,100,100,-0.1,2.00E-11
retn,99.5,40.3,80.5,97.8,93.3,92.5,35.2,90.2,456,100,0.1,1.00E-11
ak2,9.93E-02,7.70E-02,9.87E-02,9.83E-02,9.54E-02,9.06E-02,9.08E-02,8.60E-02,6.20E-02,2.00E-02,2.80E-02,2.80E-02
ak2fs,9.26E-02,7.70E-02,9.39E-02,9.23E-02,9.70E-02,9.44E-02,2.94E-02,8.60E-02,4.44E-02,2.00E-02,2.80E-02,2.80E-02
r3,12,50,50,50,50,50,50,50,50,50,50,0.1
r3fs,10,10,10,10,10,10,10,10,10,10,10,0.1
r4,1,10,10,10,10,10,10,1,10,10,10,0.1
fpet,3,3,3,3,3,3,3,3,3,3,0.865,3
ftall,1,1,0.7,0.7,0.7,0.7,0.7,1,1,1,0,1
flint,1,1,1,1,1,1,1,1,1,1,1,1
fcap,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,1
ffcap,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1
spore,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1
fratio,1,1,1,1,1,1,1,1,1,1,1,1
