Parameter,jean-marie,martin,birch,backstone,Pembina,Roseau,
flz,0.000586,0.000975,0.002645,0.000524,0.000153,0.000743,
pwr,1.51991,1.89113,3.29303,3.00779,2.96221,2.44878,
r1n,4.00E-03,0.3,0.4,4.00E-03,0.1,5.00E-02,
r2n,0.0386,3.86202,1.01711,0.321281,0.1,0.251921,
mndr,1,1,1,1,1,1,
aa2,1,1,1,500,1,1,
aa3,4.30E-02,4.00E-02,2.00E-02,4.30E-02,4.00E-02,2.00E-02,
aa4,1,1,1,1,1,1,
theta,2.5,2,0.704,0.136,0.377,1,
widep,10,20,20,30,20,20,
kcond,0.37,0.654,0.4,0.5,0.654,0.654,
pool,0,0,0,0,0,0,
rlake,1,1.6,1.4,1.4,0.771,0.771,
