Parameter,Rat,Nelson,UBtwd,Grass_Split,Minago_Cross,Kettle,Odei,Limestone_Mouth,Footprint
flz,3.01E-03,4.03E-03,2.43E-03,1.71E-03,4.72E-03,9.90E-04,2.02E-03,2.22E-03,1.00E-08
pwr,2.73,2.46,3.34,3.5,3.48,2.75,2.91,1.24,1.34
r1n,0.4,0.4,0.4,0.4,0.4,0.15,0.4,0.4,0.4
r2n,3.68E-02,3.20E-03,9.61E-03,1.88E-02,1.29E-02,3.50E-03,1.00E-03,8.97E-03,1.31E-02
mndr,1,1,1,1,1,1,1,1,1
aa2,1,1,1,1,1,1,1,1,1
aa3,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,8.60E-02,4.30E-02
aa4,1,1,1,1,1,1,1,1,1
theta,0.62,0.865,0.807,0.94,0.807,0.774,0.132,0.188,1.10E-01
widep,10,30,10,10,10,30,10,30,25
kcond,0.171,0.168,0.217,0.233,0.183,0.124,0.158,0.223,0.244
pool,0,0,0,0,0,0,0,0,0
rlake,1,1,1,1,1,1,1,1,1
,,,,,,,,,
flz,4.48E-03,4.51E-03,4.64E-03,8.20E-04,4.11E-03,1.22E-03,2.52E-03,4.57E-03,1.00E-08
pwr,1.72,3.04,1.58,3.92,3.15,3.79,3.02,2.05,1.93
r1n,0.4,0.4,0.4,0.4,0.4,0.15,0.4,0.4,0.4
r2n,1.86E-02,5.30E-03,3.69E-03,1.24E-02,1.24E-02,2.27E-03,1.10E-03,1.02E-02,1.58E-02
mndr,1,1,1,1,1,1,1,1,1
aa2,1,1,1,1,1,1,1,1,1
aa3,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,8.60E-02,4.30E-02
aa4,1,1,1,1,1,1,1,1,1
theta,0.424,0.687,0.634,0.908,0.369,0.637,0.404,0.12,0.111
widep,10,30,10,10,10,30,10,30,25
kcond,0.217,0.141,0.154,0.199,0.215,0.166,0.242,0.103,0.234
pool,0,0,0,0,0,0,0,0,0
rlake,1,1,1,1,1,1,1,1,1
,,,,,,,,,
flz,4.15E-03,4.96E-03,4.58E-03,2.21E-03,3.94E-03,2.27E-03,2.03E-03,3.28E-03,1.00E-08
pwr,2.29,1.93,3.28,3.86,3.28,3.21,3.77,3.74,1.89
r1n,0.4,0.4,0.4,0.4,0.4,0.15,0.4,0.4,0.4
r2n,1.48E-03,2.03E-03,1.94E-02,1.49E-02,1.98E-02,1.66E-02,2.05E-03,9.75E-03,1.67E-02
mndr,1,1,1,1,1,1,1,1,1
aa2,1,1,1,1,1,1,1,1,1
aa3,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,8.60E-02,4.30E-02
aa4,1,1,1,1,1,1,1,1,1
theta,0.102,0.162,0.438,0.947,0.133,0.946,0.32,0.374,0.114
widep,10,30,10,10,10,30,10,30,25
kcond,0.226,0.106,0.246,0.226,0.2,0.118,0.232,0.146,0.244
pool,0,0,0,0,0,0,0,0,0
rlake,1,1,1,1,1,1,1,1,1
,,,,,,,,,
flz,4.66E-03,3.06E-03,4.83E-03,3.39E-03,2.26E-03,1.08E-03,3.13E-03,2.88E-03,1.00E-08
pwr,1.69,3.76,2.73,2.92,3.21,3.18,3.84,3.84,1.89
r1n,0.4,0.4,0.4,0.4,0.4,0.15,0.4,0.4,0.4
r2n,4.51E-03,1.85E-03,1.97E-02,1.32E-02,1.96E-02,1.52E-02,1.69E-03,1.01E-02,1.67E-02
mndr,1,1,1,1,1,1,1,1,1
aa2,1,1,1,1,1,1,1,1,1
aa3,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,4.30E-02,8.60E-02,4.30E-02
aa4,1,1,1,1,1,1,1,1,1
theta,0.849,0.211,0.392,0.94,0.363,0.259,0.402,0.275,0.118
widep,10,30,10,10,10,30,10,30,25
kcond,0.21,0.182,0.228,0.102,0.237,0.219,0.247,0.12,0.238
pool,0,0,0,0,0,0,0,0,0
rlake,1,1,1,1,1,1,1,1,1
