Parameter,jean-marie,martin,birch,backstone,Pembina,Roseau,Little,Churchill
flz,1.00E-05,8.00E-07,1.00E-04,1.15E-03,4.68E-04,1.00E-04,3.00E-04,1.15E-03
pwr,3.00,1.50,3.50,2.48,3.30,3.20,3.50,2.48
r1n,4.00E-03,2.00E-02,0.40,0.40,2.50E-02,0.40,4.00E-02,0.20
r2n,3.52E-02,2.32E-02,1.42E-02,2.30E-02,1.70E-02,1.42E-02,1.42E-02,1.30E-02
mndr,1.00,1.30,1.00,1.00,1.00,1.00,1.00,1.00
aa2,1.00,1.00,1.00,1.10,1.10,1.00,1.00,1.10
aa3,4.30E-02,4.00E-02,4.00E-02,2.00E-02,2.00E-02,4.00E-02,6.00E-02,2.00E-02
aa4,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
theta,0.50,0.70,0.70,0.15,0.10,0.50,0.15,0.15
widep,10.00,20.00,20.00,30.00,10.00,20.00,13.00,30.00
kcond,0.37,0.40,0.40,1.65,0.68,0.40,0.65,1.65
pool,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
rlake,1.00,1.40,1.40,1.20,1.05,1.30,1.00,1.20
